4.213984,2.028135,0.000186,13.600000
4.213043,2.027621,0.000163,13.700000
4.212075,2.027092,0.000141,13.800000
4.211125,2.026573,0.000123,13.900000
4.210194,2.026064,0.000107,14.000000
4.209244,2.025545,0.000094,14.100000
4.208303,2.025031,0.000083,14.200000
4.207372,2.024523,0.000072,14.300000
4.206422,2.024004,0.000062,14.400000
4.205463,2.023480,0.000053,14.500000
4.204550,2.022981,0.000047,14.600000
4.203600,2.022462,0.000041,14.700000
4.202669,2.021954,0.000036,14.800000
4.201729,2.021440,0.000031,14.900000
4.200789,2.020926,0.000027,15.000000
4.199848,2.020413,0.000023,15.100000
